date, time, channel, user, function
2022/06/17, 02:36:53+09:00:00, C03F7FA69T7, W015P0N6NG3, make
2022/06/17, 02:37:31+09:00:00, C03L8FV8FUH, W015UV0CYG4, invite_action
2022/06/17, 02:52:41+09:00:00, C03L8FV8FUH, W0161CLNWJD, invite_action
2022/06/17, 02:58:42+09:00:00, C03KL59RG04, W015NPNH35G, invite_action
2022/06/17, 02:59:13+09:00:00, C03KYUH442G, W015NPNH35G, invite_action
2022/06/17, 03:03:54+09:00:00, C03KYUH442G, W015UV4C61J, invite_action
2022/06/17, 03:08:21+09:00:00, C03L8FV8FUH, W015UUZMB8U, invite_action
2022/06/17, 03:09:35+09:00:00, C03LBG5A7BK, W015UUZMB8U, invite_action
2022/06/17, 03:09:52+09:00:00, C03HEF9E51U, W015UUZMB8U, invite_action
2022/06/17, 03:16:12+09:00:00, C03J9GP553R, W015G26BAMU, invite_action
2022/06/17, 03:18:26+09:00:00, C03LBG5A7BK, W015G26BAMU, invite_action
2022/06/17, 03:20:09+09:00:00, C03KV8Y6751, W015MCH7G69, issue_url
2022/06/17, 03:23:36+09:00:00, C03KV8Y6751, W015MCH7G69, make_url
2022/06/17, 03:27:22+09:00:00, C03KV8Y6751, W015MCH7G69, issue_url
2022/06/17, 03:27:40+09:00:00, C03LBG5A7BK, W01581UP0DV, invite_action
2022/06/17, 03:29:30+09:00:00, C03F7FA69T7, W015MCH7G69, make_url
2022/06/17, 03:29:51+09:00:00, C03KL59RG04, W015P0JM40K, invite_action
2022/06/17, 03:29:53+09:00:00, C03L8FV8FUH, W015P0JM40K, invite_action
2022/06/17, 03:29:55+09:00:00, C03KV8Y6751, W015P0JM40K, invite_action
2022/06/17, 03:30:52+09:00:00, C03KV8Y6751, W015UV0CYG4, invite_action
2022/06/17, 03:30:52+09:00:00, C03KV8Y6751, W01581UP0DV, invite_action
2022/06/17, 03:43:53+09:00:00, C03KQB5PA58, W016CJUGH4Y, invite_action
2022/06/17, 03:57:10+09:00:00, C03KV8Y6751, W015UUZMB8U, invite_action
